Name,Comment,Time,Likes,Reply Count,Supporter
Obed Khan,Shah Rukh Khan sirf ek,2023-01-30T02:44:56Z,0,0,Shahrukh  khan
Aasif Patel,Salman khan,2023-01-29T13:49:48Z,0,0,Salman Khan
V Shejule Status,Only Salman bhai<br>Bhot Hard Bhai✌,2023-01-28T17:53:55Z,0,0,Salman Khan
Avinash Tudu rushika,Bollywood ka sabse bada super star srk,2023-01-28T17:38:39Z,0,0,Shahrukh  khan
DexterDrubo Animations-,"In India Salman Khan has bigger stardom than SRK, but when it comes to world wide SRK has many times more than Salman Khan.",2023-01-28T11:34:45Z,0,0,Shahrukh  khan
Numan Shaikh,Sallu,2023-01-27T08:10:33Z,0,0,Salman Khan
Sahar Hafeez,Srk is king,2023-01-25T17:32:37Z,1,0,Shahrukh  khan
SAJAN_YT,Salman living in people&#39;s heart ❤,2023-01-24T16:19:55Z,0,0,Salman Khan
Shahabuddin Ajmal,Ladko ka favourite only sallu bhai,2023-01-23T20:05:29Z,0,0,Salman Khan
Huda Ansari,Salman bhai bus aur koi nhi hai un ke siva,2023-01-22T20:26:34Z,0,0,Salman Khan
MUSTAFA ADHONI,Salman Khan ko hi King Khan hona hai srk bakwas hai,2023-01-22T20:02:10Z,0,0,Salman Khan
Vartika Yadav,Only bhaijan kyoki he has a pure heart 🥰🥰,2023-01-19T03:55:08Z,0,0,Salman Khan
being stone,Salman Khan is best hero for bollywood,2023-01-18T02:00:22Z,1,0,Salman Khan
Omkar Deshmukh,Shahrukh Khan,2023-01-15T13:34:03Z,0,0,Shahrukh  khan
Raja Talib,One n only Salman Khan bhai,2023-01-15T06:47:10Z,0,0,Salman Khan
Adib Khan,Really Salman khan ❤️‍🔥🌟🌟🌟🌟🌟,2023-01-14T13:43:36Z,0,0,Salman Khan
baazigar channel,King khan srk,2023-01-14T02:43:54Z,0,0,Shahrukh  khan
Billa Sk,Salman Khan,2023-01-13T15:03:05Z,0,0,Salman Khan
RIZ,"Srk is an emotion! The person who made me laugh,cry and taught me to love and help the people ♥️<br>Srk have quality he don&#39;t believe in quantity<br>No hate to salman khan but I will say no body can match the level of srk!😌♥️",2023-01-12T10:43:41Z,1,0,Shahrukh  khan
